fusion	特征融合
model-free	无模型方法
model-based	基于模型方法
SPL	路径效率加权成功率（Success weighted by Path Length）
Vehicle UAV	飞行器无人机
aerial robot	空中机器人
Qualitative Results	定性结果
VLN	视觉语言导航（Vision-Language Navigation）
shot semantic	样本语义
Aerial Robots	空中机器人
module	功能模块
Aerial Manipulation	空中操作
Robot Control	机器人控制
Zero-Shot	零样本
Focused Reasoning	聚焦推理
imitation learning	模仿学习
NAVIGATION	导航
INTRODUCTION	引言
Model VLM	模型视觉语言模型
limitation	局限性
End-to-End	端到端
dynamics model	动力学模型
Learning Policy	学习策略
Aerial Navigation	空中导航
control	控制；控制策略
UAV	无人机（Unmanned Aerial Vehicle）
Trajectory Planning	轨迹规划
trajectory optimization	轨迹优化
Agile Flight	敏捷飞行
alignment	对齐
distributed control	分布式控制
formation	编队
perception and planning	感知与规划
ABSTRACT	摘要
encoder	编码器
planner	规划器
Navigation VLN	导航视觉语言导航
waypoint	航路点
quadrotor	四旋翼
future work	未来工作
Open-Vocabulary	开放词汇
Robot navigation	机器人导航
supplementary	补充材料
network policy	网络策略
inference	推理阶段
World Model	世界模型
Visual Tracking	视觉跟踪
Aerial Robotics	空中机器人
Semantic Map	语义地图
VLM	视觉语言模型（Vision-Language Model）
Robot Exploration	机器人探索
High-Speed Flight	高速飞行
related work	相关工作
Reinforcement Learning	强化学习
VLM Reasoning	视觉语言模型推理
fine-tuning	微调
approach	方法框架
decoder	解码器
control The learning	控制学习
Multi-Robot Exploration	多机器人探索
real time	实时性
Optical Flow	光流
UAV VLN	无人机视觉语言导航
MULTI-AGENT	多智能体
control policy	控制策略
VLA	视觉语言动作模型（Vision-Language-Action）
latency	时延
Multi-Robot Semantic	多机器人语义
policy	策略函数
RL controller	强化学习控制器
Aerial Vehicle	空中飞行器
Semantic Navigation	语义导航
occupancy map	占据栅格图
control	控制
navigation task	导航任务
rate and navigation	率与导航
control quadrotor	控制四旋翼
UAV Navigation	无人机导航
dataset	数据集
real-world robotics	真实世界机器人
tracking	跟踪；追踪
multirotor	多旋翼飞行器
trajectory	轨迹
Embodied AI	具身智能
Differentiable Simulation	可微分仿真
tracking error	跟踪误差
transformer	变换器架构
Goal Navigation	目标导航
RL	强化学习（Reinforcement Learning）
shot perception	样本感知
Aerial Transportation	空中运输
trajectory and point	轨迹与点
VLN agent	视觉语言导航智能体
trajectory tracking	轨迹跟踪
projection	特征投影
robots and semantic	机器人与语义
navigation policy	导航策略
shot perception pipeline	样本感知流程
replanning	重规划
robustness	鲁棒性
sampling	采样
RMSE	均方根误差（Root Mean Square Error）
VLN dataset	视觉语言导航数据集
Language Model VLM	语言模型视觉语言模型
Multi-Robot	多机器人系统
flight trajectory	飞行轨迹
Aerial Vehicles	空中飞行器
swarm	集群
Aerial Vision-Language	空中视觉语言
precision	精确率
evaluation	评估
depth map	深度图
ablation	消融实验
appendix	附录
perception	感知
Scene Graph	场景图
Quadrotor Control	四旋翼控制
policy learning	策略学习
robot	机器人
Score Collaboration	评分协作机制
Sim to Real	仿真到现实迁移
semantic reasoning	语义推理
Planning and Control	规划与控制
robotics RL	机器人强化学习
Navigation system	导航系统
experiments	实验
Obstacle Avoidance	避障
high-speed navigation	高速度导航
closed-loop	闭环控制
Proactive Perception	前瞻式感知
RL to control	强化学习控制
MLLM	多模态大语言模型（Multimodal Large Language Model）
Cable-Suspended Load	缆索悬挂负载
Spatiotemporal Context	时空上下文
Navigation Object-Goal	导航目标物体目标
VISION-LANGUAGE NAVIGATION	视觉语言导航
pipeline	处理流程；方法链路
sample efficiency	样本效率
learning with policy	基于策略的学习
Quantitative Results	定量结果
system and policy	系统与策略
Learning for Robot	学习机器人
Object Navigation	目标物体导航
flight time	续航时间
open-loop	开环控制
point cloud	点云
floor plan	楼层平面图
Success Rate	成功率
reasoning	推理
map	平均精度均值
multi-robot navigation	多机器人导航
controller	控制器
backbone	主干网络
generalization	泛化能力
Object Goal Navigation	目标物体导航
Chain-of-Thought	思维链推理
perception pipeline	感知流程
Learning Quadrotor Control	学习四旋翼控制
planning	规划；路径规划
baseline	基线
